==8340== NVPROF is profiling process 8340, command: ./test
==8340== Profiling application: ./test
==8340== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream          Src Dev   Src Ctx          Dst Dev   Dst Ctx        Unified Memory  Virtual Address  Name
5.66333s     832ns                    -               -         -         -         -       64B  73.360MB/s      Device    Pageable  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy DtoH]
5.66557s     768ns                    -               -         -         -         -       64B  79.473MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.66558s     864ns                    -               -         -         -         -       64B  70.643MB/s      Device    Pageable  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy DtoH]
5.66783s     736ns                    -               -         -         -         -       64B  82.928MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.66784s     896ns                    -               -         -         -         -       64B  68.120MB/s      Device    Pageable  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy DtoH]
5.67009s     736ns                    -               -         -         -         -       64B  82.928MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.67010s     896ns                    -               -         -         -         -       64B  68.120MB/s      Device    Pageable  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy DtoH]
5.67235s     736ns                    -               -         -         -         -       64B  82.928MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.67235s  1.4400us              (8 1 1)       (256 1 1)         8        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  __pgi_dev_cumemset_4n [633]
5.67236s  1.2800us                    -               -         -         -         -  7.2227KB  5.3813GB/s      Device    Pageable  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy DtoH]
5.67460s  1.4400us                    -               -         -         -         -  7.2227KB  4.7834GB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
5.67461s     960ns                    -               -         -         -         -        4B  3.9736MB/s      Device    Pageable  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy DtoH]
5.67462s     864ns                    -               -         -         -         -        4B  4.4152MB/s      Device    Pageable  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy DtoH]
5.67685s  6.0160us              (1 1 1)       (256 1 1)        32        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  create_subdomain_column_sum_ [638]
