==8336== NVPROF is profiling process 8336, command: ./test
==8336== Profiling application: ./test
==8336== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream          Src Dev   Src Ctx          Dst Dev   Dst Ctx        Unified Memory  Virtual Address  Name
6.80697s     960ns                    -               -         -         -         -      144B  143.05MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.80986s     960ns                    -               -         -         -         -      192B  190.73MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.81275s     961ns                    -               -         -         -         -      192B  190.54MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.81564s     960ns                    -               -         -         -         -      192B  190.73MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.81853s     928ns                    -               -         -         -         -      144B  147.98MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.81854s  9.2160us              (1 1 1)       (256 1 1)        14        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  __pgi_dev_cumemset_16n [595]
6.81855s  10.017us              (8 1 1)       (256 1 1)         8        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  __pgi_dev_cumemset_4n [596]
6.81857s  2.7520us                    -               -         -         -         -  7.2227KB  2.5029GB/s      Device    Pageable  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy DtoH]
6.82146s  2.1770us                    -               -         -         -         -  7.2227KB  3.1640GB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.82146s  8.4480us              (7 1 1)       (256 1 1)        10        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  __pgi_dev_cumemset_8n [599]
6.82146s         -                    -               -         -         -         -         -           -           -           -                -         -         -                -         -                -         -         PC 0xdeab3308   0x7f739c000000  [Unified Memory CPU page faults]
6.82148s  1.6330us                    -               -         -         -         -       64B  37.376MB/s      Device     Managed  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy DtoD]
6.82160s  1.6000us                    -               -         -         -         -  7.2227KB  4.3050GB/s      Device     Managed  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy DtoD]
6.82437s  9.2480us              (1 1 1)       (256 1 1)        14        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  __pgi_dev_cumemset_16n [637]
6.82438s  1.1200us                    -               -         -         -         -       64B  54.496MB/s      Device    Pageable  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy DtoH]
6.82727s     928ns                    -               -         -         -         -       64B  65.771MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.82727s  1.1520us                    -               -         -         -         -       64B  52.982MB/s      Device    Pageable  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy DtoH]
6.83017s     928ns                    -               -         -         -         -       64B  65.771MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.83018s  1.1520us                    -               -         -         -         -       64B  52.982MB/s      Device    Pageable  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy DtoH]
6.83307s     928ns                    -               -         -         -         -       64B  65.771MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.83307s  1.1200us                    -               -         -         -         -       64B  54.496MB/s      Device    Pageable  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy DtoH]
6.83597s     928ns                    -               -         -         -         -       64B  65.771MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.83597s  8.3520us              (8 1 1)       (256 1 1)         8        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  __pgi_dev_cumemset_4n [646]
6.83598s  1.6000us                    -               -         -         -         -  7.2227KB  4.3050GB/s      Device    Pageable  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy DtoH]
6.83888s  2.1760us                    -               -         -         -         -  7.2227KB  3.1655GB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.83888s  1.2480us                    -               -         -         -         -        4B  3.0566MB/s      Device    Pageable  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy DtoH]
6.83890s  1.1200us                    -               -         -         -         -        4B  3.4060MB/s      Device    Pageable  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy DtoH]
6.84177s  34.402us              (1 1 1)       (256 1 1)        32        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  create_subdomain_column_sum_ [651]
6.84181s  8.6090us              (1 1 1)       (128 1 1)         9        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__scan::InitAgent<cub::ScanTileState<__int64, bool=1>, int>, cub::ScanTileState<__int64, bool=1>, int>(bool=1, cub::ScanTileState<__int64, bool=1>) [683]
6.84182s  37.282us              (1 1 1)        (96 1 1)        32        0B  2.0781KB         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__scan::ScanAgent<thrust::device_ptr<__int64>, thrust::device_ptr<int>, thrust::plus<int>, int, __int64, thrust::detail::integral_constant<bool, bool=1>>, thrust::device_ptr<__int64>, thrust::device_ptr<int>, thrust::plus<int>, int, cub::ScanTileState<__int64, bool=1>, thrust::cuda_cub::__scan::DoNothing<__int64>>(thrust::device_ptr<__int64>, int, thrust::device_ptr<int>, int, thrust::plus<int>, int) [691]
6.84475s  25.858us              (7 1 1)       (256 1 1)        32        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  create_subdomain_build_tree_ [701]
6.84478s  12.449us              (7 1 1)       (256 1 1)        22        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  create_subdomain_update_zone_new_ [702]
6.84480s  1.1520us                    -               -         -         -         -        4B  3.3114MB/s      Device    Pageable  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy DtoH]
6.84481s  1.1200us                    -               -         -         -         -        4B  3.4060MB/s      Device    Pageable  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy DtoH]
6.84769s  26.529us              (1 1 1)       (256 1 1)        32        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  create_subdomain_column_sum_ [705]
6.84772s  8.5450us              (1 1 1)       (128 1 1)         9        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__scan::InitAgent<cub::ScanTileState<__int64, bool=1>, int>, cub::ScanTileState<__int64, bool=1>, int>(bool=1, cub::ScanTileState<__int64, bool=1>) [731]
6.84773s  38.498us              (1 1 1)        (96 1 1)        32        0B  2.0781KB         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__scan::ScanAgent<thrust::device_ptr<__int64>, thrust::device_ptr<int>, thrust::plus<int>, int, __int64, thrust::detail::integral_constant<bool, bool=1>>, thrust::device_ptr<__int64>, thrust::device_ptr<int>, thrust::plus<int>, int, cub::ScanTileState<__int64, bool=1>, thrust::cuda_cub::__scan::DoNothing<__int64>>(thrust::device_ptr<__int64>, int, thrust::device_ptr<int>, int, thrust::plus<int>, int) [739]
6.85067s  25.057us              (4 1 1)       (256 1 1)        32        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  create_subdomain_build_tree_ [749]
6.85070s  12.609us              (4 1 1)       (256 1 1)        22        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  create_subdomain_update_zone_new_ [750]
6.85072s  1.1200us                    -               -         -         -         -        4B  3.4060MB/s      Device    Pageable  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy DtoH]
6.85073s  1.2160us                    -               -         -         -         -        4B  3.1371MB/s      Device    Pageable  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy DtoH]
6.85361s  27.682us              (1 1 1)       (256 1 1)        32        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  create_subdomain_column_sum_ [753]
6.85364s  8.6090us              (1 1 1)       (128 1 1)         9        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__scan::InitAgent<cub::ScanTileState<__int64, bool=1>, int>, cub::ScanTileState<__int64, bool=1>, int>(bool=1, cub::ScanTileState<__int64, bool=1>) [779]
6.85365s  36.450us              (1 1 1)        (96 1 1)        32        0B  2.0781KB         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__scan::ScanAgent<thrust::device_ptr<__int64>, thrust::device_ptr<int>, thrust::plus<int>, int, __int64, thrust::detail::integral_constant<bool, bool=1>>, thrust::device_ptr<__int64>, thrust::device_ptr<int>, thrust::plus<int>, int, cub::ScanTileState<__int64, bool=1>, thrust::cuda_cub::__scan::DoNothing<__int64>>(thrust::device_ptr<__int64>, int, thrust::device_ptr<int>, int, thrust::plus<int>, int) [787]
6.85658s  24.865us              (4 1 1)       (256 1 1)        32        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  create_subdomain_build_tree_ [797]
6.85661s  12.352us              (4 1 1)       (256 1 1)        22        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  create_subdomain_update_zone_new_ [798]
6.85662s  1.1200us                    -               -         -         -         -        4B  3.4060MB/s      Device    Pageable  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy DtoH]
6.85664s  1.1200us                    -               -         -         -         -        4B  3.4060MB/s      Device    Pageable  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy DtoH]
6.85665s  1.1200us                    -               -         -         -         -        4B  3.4060MB/s      Device    Pageable  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy DtoH]
6.85667s  1.1200us                    -               -         -         -         -        4B  3.4060MB/s      Device    Pageable  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy DtoH]
6.85952s  1.3440us                    -               -         -         -         -      240B  170.30MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.86241s     960ns                    -               -         -         -         -      240B  238.42MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.86531s     960ns                    -               -         -         -         -      240B  238.42MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.86821s     928ns                    -               -         -         -         -      240B  246.64MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.87110s     960ns                    -               -         -         -         -      240B  238.42MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.87400s     960ns                    -               -         -         -         -      240B  238.42MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.87689s     960ns                    -               -         -         -         -      240B  238.42MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.87978s  1.2800us                    -               -         -         -         -      192B  143.05MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.88268s  1.3760us                    -               -         -         -         -      192B  133.07MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.88525s  199.49us                    -               -         -         -         -         -           -           -           -  NVIDIA GeForce          -         -                -         -                -         -                    14   0x7f739c002000  [Unified Memory GPU page faults]
6.88541s  2.4640us                    -               -         -         -         -         -           -           -           -  NVIDIA GeForce          -         -                -         -                -         -            8.000000KB   0x7f739c000000  [Unified Memory Memcpy HtoD]
6.88542s  1.1200us                    -               -         -         -         -         -           -           -           -  NVIDIA GeForce          -         -                -         -                -         -            4.000000KB   0x7f739c002000  [Unified Memory Memcpy HtoD]
6.88542s  4.8960us                    -               -         -         -         -         -           -           -           -  NVIDIA GeForce          -         -                -         -                -         -           52.000000KB   0x7f739c003000  [Unified Memory Memcpy HtoD]
6.88555s  1.6320us                    -               -         -         -         -         -           -           -           -  NVIDIA GeForce          -         -                -         -                -         -            8.000000KB   0x7f739c000000  [Unified Memory Memcpy DtoH]
6.88555s  1.0880us                    -               -         -         -         -         -           -           -           -  NVIDIA GeForce          -         -                -         -                -         -            4.000000KB   0x7f739c002000  [Unified Memory Memcpy DtoH]
6.88555s  4.7360us                    -               -         -         -         -         -           -           -           -  NVIDIA GeForce          -         -                -         -                -         -           52.000000KB   0x7f739c003000  [Unified Memory Memcpy DtoH]
6.88558s     960ns                    -               -         -         -         -      288B  286.10MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.88559s  209.29us              (2 1 1)       (256 1 1)        14        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  __pgi_dev_cumemset_16n [832]
6.88580s         -                    -               -         -         -         -         -           -           -           -                -         -         -                -         -                -         -         PC 0xdeab3308   0x7f739c002000  [Unified Memory CPU page faults]
6.88583s  1.8240us                    -               -         -         -         -  1.8906KB  0.9885GB/s      Device     Managed  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy DtoD]
6.89640s  11.036ms             (79 1 1)       (256 1 1)        40        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  mrand_createrand_init_ [835]
6.90744s  3.4880us                    -               -         -         -         -      400B  109.37MB/s      Pinned      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.90746s  17.441us                    -               -         -         -         -  189.06KB  10.338GB/s      Pinned      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.90749s  17.569us                    -               -         -         -         -  189.06KB  10.263GB/s      Pinned      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.90752s  17.345us                    -               -         -         -         -  189.06KB  10.395GB/s      Pinned      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.91033s     896ns                    -               -         -         -         -        8B  8.5149MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.91322s     960ns                    -               -         -         -         -      176B  174.84MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.91612s     960ns                    -               -         -         -         -      192B  190.73MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.91613s  2.5544ms                    -               -         -         -         -  28.992MB  11.084GB/s      Pinned      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.91920s  1.0240us                    -               -         -         -         -      176B  163.91MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.92210s     928ns                    -               -         -         -         -      128B  131.54MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.92210s  562.91us             (79 1 1)       (256 1 1)        84        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  add_particles_add_init_particles_ [849]
6.92552s  136.16us                    -               -         -         -         -         -           -           -           -  NVIDIA GeForce          -         -                -         -                -         -                     1   0x7f739c000000  [Unified Memory GPU page faults]
6.92563s  1.7600us                    -               -         -         -         -         -           -           -           -  NVIDIA GeForce          -         -                -         -                -         -            4.000000KB   0x7f739c000000  [Unified Memory Memcpy HtoD]
6.92563s  1.1200us                    -               -         -         -         -         -           -           -           -  NVIDIA GeForce          -         -                -         -                -         -            4.000000KB   0x7f739c001000  [Unified Memory Memcpy HtoD]
6.92563s  1.0560us                    -               -         -         -         -         -           -           -           -  NVIDIA GeForce          -         -                -         -                -         -            4.000000KB   0x7f739c002000  [Unified Memory Memcpy HtoD]
6.92563s  4.8640us                    -               -         -         -         -         -           -           -           -  NVIDIA GeForce          -         -                -         -                -         -           52.000000KB   0x7f739c003000  [Unified Memory Memcpy HtoD]
6.92585s     928ns                    -               -         -         -         -      128B  131.54MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.92586s  152.49us              (2 1 1)       (256 1 1)        17        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  compact_array_scan_zone_ [918]
6.92891s  11.489us                    -               -         -         -         -       16B  1.3281MB/s     Managed      Pinned  NVIDIA GeForce          1        16                -         -                -         -                     -                -  [CUDA memcpy DtoH]
6.93182s  11.233us                    -               -         -         -         -       16B  1.3584MB/s     Managed      Pinned  NVIDIA GeForce          1        16                -         -                -         -                     -                -  [CUDA memcpy DtoH]
6.93473s  11.712us                    -               -         -         -         -       16B  1.3028MB/s     Managed      Pinned  NVIDIA GeForce          1        16                -         -                -         -                     -                -  [CUDA memcpy DtoH]
6.93764s  1.62397s            (782 1 1)       (256 1 1)        40        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  mrand_createrand_loop_ [939]
8.56160s  21.121us                    -               -         -         -         -  197.66KB  8.9248GB/s      Pinned      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
8.56165s  17.729us                    -               -         -         -         -  197.66KB  10.632GB/s      Pinned      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
8.56167s  17.473us                    -               -         -         -         -  192.84KB  10.525GB/s      Pinned      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
8.56170s  17.249us                    -               -         -         -         -  189.06KB  10.453GB/s      Pinned      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
8.56173s  17.409us                    -               -         -         -         -  189.06KB  10.357GB/s      Pinned      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
8.56415s  1.5680us                    -               -         -         -         -  3.7813KB  2.2998GB/s      Pinned      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
8.56671s  4.7680us              (1 1 1)       (256 1 1)        10        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  __pgi_dev_cumemset_8n [946]
8.56672s  3.9040us              (1 1 1)       (256 1 1)        10        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  __pgi_dev_cumemset_8n [947]
8.56672s  3.8080us              (1 1 1)       (256 1 1)        10        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  __pgi_dev_cumemset_8n [948]
8.56673s  4.5120us              (1 1 1)       (256 1 1)         8        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  __pgi_dev_cumemset_4n [949]
8.56673s  3.7760us              (1 1 1)       (256 1 1)        10        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  __pgi_dev_cumemset_8n [950]
8.56674s  3.8090us              (1 1 1)       (256 1 1)        10        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  __pgi_dev_cumemset_8n [951]
8.56674s  3.8080us              (1 1 1)       (256 1 1)        10        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  __pgi_dev_cumemset_8n [952]
8.56675s  3.8080us              (1 1 1)       (256 1 1)         8        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  __pgi_dev_cumemset_4n [953]
8.56675s  3.7760us              (1 1 1)       (256 1 1)        10        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  __pgi_dev_cumemset_8n [954]
8.56676s  3.8090us              (1 1 1)       (256 1 1)        10        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  __pgi_dev_cumemset_8n [955]
8.56676s  3.7760us              (1 1 1)       (256 1 1)        10        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  __pgi_dev_cumemset_8n [956]
8.56677s  4.7040us              (1 1 1)       (256 1 1)        14        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  __pgi_dev_cumemset_16n [957]
8.56677s  16.673us            (851 1 1)       (256 1 1)        14        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  __pgi_dev_cumemset_16n [958]
8.56935s     928ns                    -               -         -         -         -      128B  131.54MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
8.57190s     928ns                    -               -         -         -         -      128B  131.54MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
8.57446s     928ns                    -               -         -         -         -      128B  131.54MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
8.57446s  86.373us             (79 1 1)       (256 1 1)        30        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  add_particles_scan_new_particles_ [965]
8.57710s  4.9600us              (1 1 1)       (128 1 1)        10        0B        0B         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__scan::InitAgent<cub::ScanTileState<int, bool=1>, int>, cub::ScanTileState<int, bool=1>, int>(bool=1, cub::ScanTileState<int, bool=1>) [994]
8.57711s  20.514us              (1 1 1)       (128 1 1)        40        0B  1.5156KB         -           -           -           -  NVIDIA GeForce          1         7                -         -                -         -                     -                -  void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__scan::ScanAgent<thrust::device_ptr<int>, thrust::device_ptr<int>, thrust::plus<int>, int, int, thrust::detail::integral_constant<bool, bool=1>>, thrust::device_ptr<int>, thrust::device_ptr<int>, thrust::plus<int>, int, cub::ScanTileState<int, bool=1>, thrust::cuda_cub::__scan::DoNothing<int>>(thrust::device_ptr<int>, thrust::device_ptr<int>, int, thrust::plus<int>, int, int) [1002]
8.57716s  78.436us                    -               -         -         -         -  781.25KB  9.4989GB/s      Device    Pageable  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy DtoH]
8.57968s     928ns                    -               -         -         -         -      128B  131.54MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
8.58222s     928ns                    -               -         -         -         -      176B  180.87MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
