==8336== NVPROF is profiling process 8336, command: ./test
==8336== Profiling application: ./test
==8336== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream          Src Dev   Src Ctx          Dst Dev   Dst Ctx        Unified Memory  Virtual Address  Name
6.71020s  1.3450us                    -               -         -         -         -      144B  102.10MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.71309s     992ns                    -               -         -         -         -      192B  184.58MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.73148s     992ns                    -               -         -         -         -      192B  184.58MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.73437s     960ns                    -               -         -         -         -      144B  143.05MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.73727s     992ns                    -               -         -         -         -      144B  138.44MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.74016s  1.3440us                    -               -         -         -         -      144B  102.18MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.74306s     929ns                    -               -         -         -         -      144B  147.82MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.74595s     960ns                    -               -         -         -         -      144B  143.05MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.74885s     928ns                    -               -         -         -         -      144B  147.98MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.75174s     928ns                    -               -         -         -         -      144B  147.98MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.75463s     928ns                    -               -         -         -         -      144B  147.98MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.75753s     960ns                    -               -         -         -         -      144B  143.05MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.76042s     960ns                    -               -         -         -         -      144B  143.05MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.76332s     928ns                    -               -         -         -         -      144B  147.98MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.76621s     960ns                    -               -         -         -         -      144B  143.05MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.76911s     928ns                    -               -         -         -         -      144B  147.98MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.77200s  1.0240us                    -               -         -         -         -      144B  134.11MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.77490s  1.0560us                    -               -         -         -         -      144B  130.05MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.77779s     961ns                    -               -         -         -         -      144B  142.90MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.78069s     960ns                    -               -         -         -         -      144B  143.05MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.78359s     928ns                    -               -         -         -         -      144B  147.98MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
6.80407s  1.3440us                    -               -         -         -         -      144B  102.18MB/s    Pageable      Device  NVIDIA GeForce          1         7                -         -                -         -                     -                -  [CUDA memcpy HtoD]
